2025-11-26 15:52:51 | INFO | Episode 233/3000 completed | epsilon=0.923
2025-11-26 15:52:51 | INFO | Episode 234/3000 completed | epsilon=0.922
2025-11-26 15:52:51 | INFO | Episode 235/3000 completed | epsilon=0.922
2025-11-26 15:52:51 | INFO | Episode 236/3000 completed | epsilon=0.922
2025-11-26 15:52:51 | INFO | Episode 237/3000 completed | epsilon=0.921
2025-11-26 15:52:51 | INFO | Episode 238/3000 completed | epsilon=0.921
2025-11-26 15:52:51 | INFO | Episode 239/3000 completed | epsilon=0.921
2025-11-26 15:52:51 | INFO | Episode 240/3000 completed | epsilon=0.920
2025-11-26 15:52:51 | INFO | Episode 241/3000 completed | epsilon=0.920
2025-11-26 15:52:51 | INFO | Episode 242/3000 completed | epsilon=0.920
2025-11-26 15:52:51 | INFO | Episode 243/3000 completed | epsilon=0.919
2025-11-26 15:52:51 | INFO | Episode 244/3000 completed | epsilon=0.919
2025-11-26 15:52:51 | INFO | Episode 245/3000 completed | epsilon=0.919
2025-11-26 15:52:51 | INFO | Episode 246/3000 completed | epsilon=0.918
2025-11-26 15:52:51 | INFO | Episode 247/3000 completed | epsilon=0.918
2025-11-26 15:52:51 | INFO | Episode 248/3000 completed | epsilon=0.918
2025-11-26 15:52:51 | INFO | Episode 249/3000 completed | epsilon=0.917
2025-11-26 15:52:51 | INFO | Episode 250/3000 completed | epsilon=0.917
2025-11-26 15:52:51 | INFO | Episode 251/3000 completed | epsilon=0.917
2025-11-26 15:52:51 | INFO | Episode 252/3000 completed | epsilon=0.916
2025-11-26 15:52:51 | INFO | Episode 253/3000 completed | epsilon=0.916
2025-11-26 15:52:51 | INFO | Episode 254/3000 completed | epsilon=0.916
2025-11-26 15:52:51 | INFO | Episode 255/3000 completed | epsilon=0.915
2025-11-26 15:52:51 | INFO | Episode 256/3000 completed | epsilon=0.915
2025-11-26 15:52:51 | INFO | Episode 257/3000 completed | epsilon=0.915
2025-11-26 15:52:51 | INFO | Episode 258/3000 completed | epsilon=0.914
2025-11-26 15:52:51 | INFO | Episode 259/3000 completed | epsilon=0.914
2025-11-26 15:52:51 | INFO | Episode 260/3000 completed | epsilon=0.914
2025-11-26 15:52:51 | INFO | Episode 261/3000 completed | epsilon=0.913
2025-11-26 15:52:51 | INFO | Episode 262/3000 completed | epsilon=0.913
2025-11-26 15:52:51 | INFO | Episode 263/3000 completed | epsilon=0.913
2025-11-26 15:52:51 | INFO | Episode 264/3000 completed | epsilon=0.912
2025-11-26 15:52:51 | INFO | Episode 265/3000 completed | epsilon=0.912
2025-11-26 15:52:51 | INFO | Episode 266/3000 completed | epsilon=0.912
2025-11-26 15:52:51 | INFO | Episode 267/3000 completed | epsilon=0.911
2025-11-26 15:52:51 | INFO | Episode 268/3000 completed | epsilon=0.911
2025-11-26 15:52:51 | INFO | Episode 269/3000 completed | epsilon=0.911
2025-11-26 15:52:51 | INFO | Episode 270/3000 completed | epsilon=0.910
2025-11-26 15:52:51 | INFO | Episode 271/3000 completed | epsilon=0.910
2025-11-26 15:52:51 | INFO | Episode 272/3000 completed | epsilon=0.910
2025-11-26 15:52:51 | INFO | Episode 273/3000 completed | epsilon=0.909
2025-11-26 15:52:51 | INFO | Episode 274/3000 completed | epsilon=0.909
2025-11-26 15:52:51 | INFO | Episode 275/3000 completed | epsilon=0.909
2025-11-26 15:52:51 | INFO | Episode 276/3000 completed | epsilon=0.908
2025-11-26 15:52:51 | INFO | Episode 277/3000 completed | epsilon=0.908
2025-11-26 15:52:51 | INFO | Episode 278/3000 completed | epsilon=0.908
2025-11-26 15:52:51 | INFO | Episode 279/3000 completed | epsilon=0.907
2025-11-26 15:52:51 | INFO | Episode 280/3000 completed | epsilon=0.907
2025-11-26 15:52:51 | INFO | Episode 281/3000 completed | epsilon=0.907
2025-11-26 15:52:51 | INFO | Episode 282/3000 completed | epsilon=0.906
2025-11-26 15:52:51 | INFO | Episode 283/3000 completed | epsilon=0.906
2025-11-26 15:52:51 | INFO | Episode 284/3000 completed | epsilon=0.906
2025-11-26 15:52:51 | INFO | Episode 285/3000 completed | epsilon=0.905
2025-11-26 15:52:51 | INFO | Episode 286/3000 completed | epsilon=0.905
2025-11-26 15:52:51 | INFO | Episode 287/3000 completed | epsilon=0.905
2025-11-26 15:52:51 | INFO | Episode 288/3000 completed | epsilon=0.904
2025-11-26 15:52:51 | INFO | Episode 289/3000 completed | epsilon=0.904
2025-11-26 15:52:52 | INFO | Episode 290/3000 completed | epsilon=0.904
2025-11-26 15:52:52 | INFO | Episode 291/3000 completed | epsilon=0.903
2025-11-26 15:52:52 | INFO | Episode 292/3000 completed | epsilon=0.903
2025-11-26 15:52:52 | INFO | Episode 293/3000 completed | epsilon=0.903
2025-11-26 15:52:52 | INFO | Episode 294/3000 completed | epsilon=0.902
2025-11-26 15:52:52 | INFO | Episode 295/3000 completed | epsilon=0.902
2025-11-26 15:52:52 | INFO | Episode 296/3000 completed | epsilon=0.902
2025-11-26 15:52:52 | INFO | Episode 297/3000 completed | epsilon=0.901
2025-11-26 15:52:52 | INFO | Episode 298/3000 completed | epsilon=0.901
2025-11-26 15:52:52 | INFO | Episode 299/3000 completed | epsilon=0.901
2025-11-26 15:52:52 | INFO | Episode 300/3000 completed | epsilon=0.900
2025-11-26 15:52:52 | INFO | Episode 301/3000 completed | epsilon=0.900
2025-11-26 15:52:52 | INFO | Episode 302/3000 completed | epsilon=0.900
2025-11-26 15:52:52 | INFO | Episode 303/3000 completed | epsilon=0.899
2025-11-26 15:52:52 | INFO | Episode 304/3000 completed | epsilon=0.899
2025-11-26 15:52:52 | INFO | Episode 305/3000 completed | epsilon=0.899
2025-11-26 15:52:52 | INFO | Episode 306/3000 completed | epsilon=0.898
2025-11-26 15:52:52 | INFO | Episode 307/3000 completed | epsilon=0.898
2025-11-26 15:52:52 | INFO | Episode 308/3000 completed | epsilon=0.898
2025-11-26 15:52:52 | INFO | Episode 309/3000 completed | epsilon=0.897
2025-11-26 15:52:52 | INFO | Episode 310/3000 completed | epsilon=0.897
2025-11-26 15:52:52 | INFO | Episode 311/3000 completed | epsilon=0.897
2025-11-26 15:52:52 | INFO | Episode 312/3000 completed | epsilon=0.896
2025-11-26 15:52:52 | INFO | Episode 313/3000 completed | epsilon=0.896
2025-11-26 15:52:52 | INFO | Episode 314/3000 completed | epsilon=0.896
2025-11-26 15:52:52 | INFO | Episode 315/3000 completed | epsilon=0.895
2025-11-26 15:52:52 | INFO | Episode 316/3000 completed | epsilon=0.895
2025-11-26 15:52:52 | INFO | Episode 317/3000 completed | epsilon=0.895
2025-11-26 15:52:52 | INFO | Episode 318/3000 completed | epsilon=0.894
2025-11-26 15:52:52 | INFO | Episode 319/3000 completed | epsilon=0.894
2025-11-26 15:52:52 | INFO | Episode 320/3000 completed | epsilon=0.894
2025-11-26 15:52:52 | INFO | Episode 321/3000 completed | epsilon=0.893
2025-11-26 15:52:52 | INFO | Episode 322/3000 completed | epsilon=0.893
2025-11-26 15:52:52 | INFO | Episode 323/3000 completed | epsilon=0.893
2025-11-26 15:52:52 | INFO | Episode 324/3000 completed | epsilon=0.892
2025-11-26 15:52:52 | INFO | Episode 325/3000 completed | epsilon=0.892
2025-11-26 15:52:52 | INFO | Episode 326/3000 completed | epsilon=0.892
2025-11-26 15:52:52 | INFO | Episode 327/3000 completed | epsilon=0.891
2025-11-26 15:52:52 | INFO | Episode 328/3000 completed | epsilon=0.891
2025-11-26 15:52:52 | INFO | Episode 329/3000 completed | epsilon=0.891
2025-11-26 15:52:52 | INFO | Episode 330/3000 completed | epsilon=0.890
2025-11-26 15:52:52 | INFO | Episode 331/3000 completed | epsilon=0.890
2025-11-26 15:52:52 | INFO | Episode 332/3000 completed | epsilon=0.890
2025-11-26 15:52:52 | INFO | Episode 333/3000 completed | epsilon=0.889
2025-11-26 15:52:52 | INFO | Episode 334/3000 completed | epsilon=0.889
2025-11-26 15:52:52 | INFO | Episode 335/3000 completed | epsilon=0.889
2025-11-26 15:52:52 | INFO | Episode 336/3000 completed | epsilon=0.888
2025-11-26 15:52:52 | INFO | Episode 337/3000 completed | epsilon=0.888
2025-11-26 15:52:52 | INFO | Episode 338/3000 completed | epsilon=0.888
2025-11-26 15:52:52 | INFO | Episode 339/3000 completed | epsilon=0.887
2025-11-26 15:52:52 | INFO | Episode 340/3000 completed | epsilon=0.887
2025-11-26 15:52:52 | INFO | Episode 341/3000 completed | epsilon=0.887
2025-11-26 15:52:52 | INFO | Episode 342/3000 completed | epsilon=0.886
2025-11-26 15:52:52 | INFO | Episode 343/3000 completed | epsilon=0.886
2025-11-26 15:52:52 | INFO | Episode 344/3000 completed | epsilon=0.886
2025-11-26 15:52:52 | INFO | Episode 345/3000 completed | epsilon=0.885
2025-11-26 15:52:52 | INFO | Episode 346/3000 completed | epsilon=0.885
2025-11-26 15:52:52 | INFO | Episode 347/3000 completed | epsilon=0.885
2025-11-26 15:52:52 | INFO | Episode 348/3000 completed | epsilon=0.884
2025-11-26 15:52:52 | INFO | Episode 349/3000 completed | epsilon=0.884
2025-11-26 15:52:52 | INFO | Episode 350/3000 completed | epsilon=0.884
2025-11-26 15:52:52 | INFO | Episode 351/3000 completed | epsilon=0.883
2025-11-26 15:52:52 | INFO | Episode 352/3000 completed | epsilon=0.883
2025-11-26 15:52:52 | INFO | Episode 353/3000 completed | epsilon=0.883
2025-11-26 15:52:52 | INFO | Episode 354/3000 completed | epsilon=0.882
2025-11-26 15:52:52 | INFO | Episode 355/3000 completed | epsilon=0.882
2025-11-26 15:52:52 | INFO | Episode 356/3000 completed | epsilon=0.882
2025-11-26 15:52:52 | INFO | Episode 357/3000 completed | epsilon=0.881
2025-11-26 15:52:52 | INFO | Episode 358/3000 completed | epsilon=0.881
