Datetime;demand;price;solar_power;wind_power
2019-01-09 21:00:00;19.367;62.44;0;88.4350633492
2019-01-09 22:00:00;18.944;54.7;0;86.5122138905
2019-01-09 23:00:00;18.094;58.6;0;71.961447767
2019-01-10 00:00:00;17.252;50.49;0;59.0326754392
2019-01-10 01:00:00;16.837;51.2;0;48.837320855
2019-01-10 02:00:00;16.504;48.8;0;28.7696327615
2019-01-10 03:00:00;16.268;48.5;0;21.5862637117
2019-01-10 04:00:00;16.335;49.8;0;13.7810691432
2019-01-10 05:00:00;16.49;57.74;0;8.0642298556
2019-01-10 06:00:00;17.116;66.18;0;5.3150146638
2019-01-10 07:00:00;18.149;67.2;13.8432576733;3.4415169226
2019-01-10 08:00:00;18.815;68;36.1988156067;3.8534139503
2019-01-10 09:00:00;18.812;67.73;59.8396862467;3.2957885257
2019-01-10 10:00:00;18.684;67.05;78.1783589533;2.1432789667
2019-01-10 11:00:00;18.59;66.15;85.3213563;5.2253733306
2019-01-10 12:00:00;18.391;66.01;81.9424546133;11.5158804125
2019-01-10 13:00:00;18.029;64.18;73.47859264;15.1573146528
2019-01-10 14:00:00;17.765;63.52;53.3055998333;16.3265707314
2019-01-10 15:00:00;17.427;64.6;19.8611186467;23.6792725045
2019-01-10 16:00:00;17.141;67.2;0;30.5915132596
2019-01-10 17:00:00;17.122;69;0;32.0576756393
2019-01-10 18:00:00;17.662;69.69;0;31.4636181155
2019-01-10 19:00:00;17.799;69.75;0;29.1543740985
2019-01-10 20:00:00;17.537;67.73;0;23.8522484378
2019-01-10 21:00:00;17.241;65.52;0;16.3268462683
2019-01-10 22:00:00;16.613;63.02;0;7.9498208179
2019-01-10 23:00:00;15.812;60.84;0;2.3382978508
2019-01-11 00:00:00;14.779;55.61;0;0.347329551
2019-01-11 01:00:00;14.272;52.85;0;0.0177874367
2019-01-11 02:00:00;13.902;51;0;0.0003061521
2019-01-11 03:00:00;13.823;49.98;0;9.1845628E-005
2019-01-11 04:00:00;13.788;51.6;0;0.0001836913
2019-01-11 05:00:00;14.156;58.31;0;0.0013776844
2019-01-11 06:00:00;14.988;68.35;0;0.0031839818
2019-01-11 07:00:00;16.015;69.01;36.05347666;0.0105928625
2019-01-11 08:00:00;17.155;69.45;68.6423271867;0.0947846884
2019-01-11 09:00:00;17.092;69.01;81.7794842267;0.0721600486
2019-01-11 10:00:00;16.805;67.71;85.4138491;0.1707104078
2019-01-11 11:00:00;16.707;67.69;84.95673234;2.7191816713
2019-01-11 12:00:00;16.323;67.2;81.8704113933;4.2541058114
2019-01-11 13:00:00;16.063;67.66;73.71936296;3.8548528652
2019-01-11 14:00:00;15.9;66.06;54.0055101933;2.734489276
2019-01-11 15:00:00;15.782;66.18;21.1660619867;2.286435686
2019-01-11 16:00:00;15.605;68.07;0;3.6514760289
2019-01-11 17:00:00;15.773;70;0;9.7783142012
2019-01-11 18:00:00;16.257;70.45;0;21.1282601786
2019-01-11 19:00:00;16.444;69.19;0;33.1504243095
2019-01-11 20:00:00;16.2;67.12;0;42.2909930831
2019-01-11 21:00:00;15.896;66.03;0;47.1976620835
2019-01-11 22:00:00;15.4;63.9;0;49.5534412189
2019-01-11 23:00:00;14.396;67.18;0;50.7605683115
2019-01-12 00:00:00;13.366;59.86;0;52.5916333724
2019-01-12 01:00:00;12.835;53.89;0;55.3904452035
2019-01-12 02:00:00;12.625;51.6;0;58.0062086973
2019-01-12 03:00:00;12.449;51.4;0;62.7628631715
2019-01-12 04:00:00;12.392;51.45;0;69.9011972483
2019-01-12 05:00:00;12.562;52.37;0;73.2764628577
2019-01-12 06:00:00;13.231;57.49;0;75.1745139968
2019-01-12 07:00:00;14.617;64;27.5070455933;76.226911821
2019-01-12 08:00:00;15.314;68;61.1455930533;53.0293696369
2019-01-12 09:00:00;15.327;68.39;75.8102542333;19.8611578907
2019-01-12 10:00:00;15.206;67.13;80.33476596;13.491755414
2019-01-12 11:00:00;15.224;64.69;76.7946763;16.7696646575
2019-01-12 12:00:00;15.021;66.12;72.3161701067;17.1314445873
2019-01-12 13:00:00;15.009;64.58;61.7438817667;15.3065944139
2019-01-12 14:00:00;14.864;59.86;39.8181744867;16.7421415842
2019-01-12 15:00:00;14.766;57.52;12.25247786;27.3434538454
2019-01-12 16:00:00;14.58;59.86;0;41.3602601012
2019-01-12 17:00:00;14.756;68.39;0;59.8550305797
2019-01-12 18:00:00;15.25;69.45;0;75.590727769
2019-01-12 19:00:00;15.656;69.69;0;81.0370510661
2019-01-12 20:00:00;15.594;69.45;0;80.2351775007
2019-01-12 21:00:00;15.443;68.71;0;76.684609202
2019-01-12 22:00:00;15.009;67.83;0;73.2772282379
2019-01-12 23:00:00;14.312;57.48;0;69.8724801818
2019-01-13 00:00:00;13.618;52.29;0;64.6004798872
2019-01-13 01:00:00;13.061;50.81;0;57.7560212059
2019-01-13 02:00:00;12.862;50;0;51.548113959
2019-01-13 03:00:00;12.71;49.91;0;43.2271449571
2019-01-13 04:00:00;12.695;49.91;0;31.6669949517
2019-01-13 05:00:00;13.236;49.97;0;21.5439841075
2019-01-13 06:00:00;14.068;50.97;0;16.6704101485
2019-01-13 07:00:00;15.398;51.31;5.3742170667;12.8063727205
2019-01-13 08:00:00;16.335;52.29;13.1680361467;5.5816119075
2019-01-13 09:00:00;16.257;61.78;22.1859878;2.3551056007
2019-01-13 10:00:00;16.284;62.5;24.78886526;1.8050115177
2019-01-13 11:00:00;16.224;63.15;26.64565822;1.5973485521
2019-01-13 12:00:00;16.028;66;21.3041026733;1.3083409751
2019-01-13 13:00:00;15.866;66;15.9793837067;1.1187103678
2019-01-13 14:00:00;15.764;63.67;10.8744074;0.9078634205
2019-01-13 15:00:00;15.712;60.82;1.3904510067;1.2185465658
2019-01-13 16:00:00;15.55;64.39;0;1.9655882911
2019-01-13 17:00:00;15.596;68.52;0;1.8928159383
2019-01-13 18:00:00;16.243;70.11;0;1.1956463891
