episode;num_events;num_recovered;recovered_ratio;mean_recovery_time_steps;median_recovery_time_steps;mean_recovery_time_hours;median_recovery_time_hours
339;20,000000;10,000000;0,500000;14,900000;14,000000;14,900000;14,000000
340;21,000000;17,000000;0,809524;33,647059;34,000000;33,647059;34,000000
341;22,000000;0,000000;0,000000;;;;
342;22,000000;14,000000;0,636364;22,714286;21,500000;22,714286;21,500000
343;18,000000;18,000000;1,000000;7,611111;5,000000;7,611111;5,000000
344;21,000000;13,000000;0,619048;9,538462;6,000000;9,538462;6,000000
345;23,000000;19,000000;0,826087;32,894737;33,000000;32,894737;33,000000
346;20,000000;15,000000;0,750000;12,933333;13,000000;12,933333;13,000000
347;18,000000;8,000000;0,444444;9,625000;9,500000;9,625000;9,500000
348;20,000000;19,000000;0,950000;38,315789;38,000000;38,315789;38,000000
349;24,000000;0,000000;0,000000;;;;
350;18,000000;14,000000;0,777778;12,285714;11,000000;12,285714;11,000000
351;23,000000;23,000000;1,000000;16,086957;14,000000;16,086957;14,000000
352;21,000000;12,000000;0,571429;9,166667;9,000000;9,166667;9,000000
353;19,000000;2,000000;0,105263;2,000000;2,000000;2,000000;2,000000
354;23,000000;0,000000;0,000000;;;;
355;21,000000;15,000000;0,714286;28,133333;26,000000;28,133333;26,000000
356;18,000000;16,000000;0,888889;11,250000;9,500000;11,250000;9,500000
357;17,000000;16,000000;0,941176;9,062500;8,000000;9,062500;8,000000
358;20,000000;16,000000;0,800000;13,562500;10,000000;13,562500;10,000000
359;25,000000;0,000000;0,000000;;;;
360;20,000000;16,000000;0,800000;11,000000;10,000000;11,000000;10,000000
361;25,000000;10,000000;0,400000;9,200000;8,000000;9,200000;8,000000
362;22,000000;19,000000;0,863636;10,421053;7,000000;10,421053;7,000000
363;21,000000;13,000000;0,619048;12,384615;13,000000;12,384615;13,000000
364;20,000000;17,000000;0,850000;14,647059;15,000000;14,647059;15,000000
365;20,000000;17,000000;0,850000;15,352941;13,000000;15,352941;13,000000
366;19,000000;19,000000;1,000000;25,894737;25,000000;25,894737;25,000000
367;21,000000;17,000000;0,809524;18,941176;14,000000;18,941176;14,000000
368;23,000000;22,000000;0,956522;11,909091;12,500000;11,909091;12,500000
369;16,000000;11,000000;0,687500;8,727273;7,000000;8,727273;7,000000
370;23,000000;16,000000;0,695652;14,875000;14,000000;14,875000;14,000000
371;23,000000;17,000000;0,739130;17,058824;15,000000;17,058824;15,000000
372;26,000000;10,000000;0,384615;16,400000;13,500000;16,400000;13,500000
373;20,000000;17,000000;0,850000;23,235294;24,000000;23,235294;24,000000
374;19,000000;19,000000;1,000000;21,105263;15,000000;21,105263;15,000000
375;21,000000;20,000000;0,952381;16,000000;13,000000;16,000000;13,000000
376;22,000000;21,000000;0,954545;14,476190;10,000000;14,476190;10,000000
