episode;max_abs_e;p95_abs_e;time_in_band_ratio;epsilon_band_w
413;93630,463961;60485,065118;0,673684;3000,000000
414;120000,000000;90477,034499;0,747368;3000,000000
415;120000,000000;91648,916766;0,715789;3000,000000
416;105007,230294;86726,727186;0,726316;3000,000000
417;114509,707295;95662,828528;0,705263;3000,000000
418;118600,298673;72537,287793;0,652632;3000,000000
419;120000,000000;101697,642514;0,705263;3000,000000
420;120000,000000;101049,003169;0,842105;3000,000000
421;120000,000000;101345,971015;0,631579;3000,000000
422;120000,000000;87411,153446;0,642105;3000,000000
423;120000,000000;70824,803370;0,789474;3000,000000
424;100319,232145;75321,433032;0,652632;3000,000000
425;120000,000000;75698,625617;0,694737;3000,000000
426;113218,140827;96368,904920;0,673684;3000,000000
427;109708,584180;93412,307663;0,547368;3000,000000
428;98999,123329;89321,407887;0,578947;3000,000000
429;87935,243045;64754,976595;0,673684;3000,000000
430;108308,589905;78789,878132;0,568421;3000,000000
431;120000,000000;116258,689042;0,652632;3000,000000
432;120000,000000;93393,328801;0,642105;3000,000000
433;110586,852111;64777,717766;0,621053;3000,000000
434;96209,827835;77492,261161;0,600000;3000,000000
435;119264,667462;95543,688622;0,694737;3000,000000
436;97568,874594;77696,674899;0,610526;3000,000000
437;120000,000000;82708,603598;0,747368;3000,000000
438;114221,029123;66175,565568;0,726316;3000,000000
439;85414,256513;62012,721831;0,673684;3000,000000
440;120000,000000;101616,756456;0,715789;3000,000000
441;112555,141529;91719,915770;0,621053;3000,000000
442;113118,873442;65057,105332;0,673684;3000,000000
443;104580,925761;73038,290394;0,726316;3000,000000
444;74031,695995;55597,989092;0,631579;3000,000000
445;103670,369366;88063,864762;0,631579;3000,000000
446;101199,409812;74199,571827;0,684211;3000,000000
447;97313,722598;59834,492568;0,663158;3000,000000
448;120000,000000;95280,391477;0,715789;3000,000000
449;111836,619526;78536,691573;0,600000;3000,000000
450;105578,241621;76194,760864;0,663158;3000,000000
451;102519,410153;63811,138020;0,663158;3000,000000
452;98348,819750;63527,072781;0,736842;3000,000000
453;119566,016170;104111,445095;0,705263;3000,000000
454;90619,788603;59597,461324;0,715789;3000,000000
455;100319,232145;78385,285533;0,621053;3000,000000
456;90992,286846;57797,510821;0,621053;3000,000000
457;92442,228134;59357,663970;0,568421;3000,000000
458;103322,988985;70155,964455;0,631579;3000,000000
459;86540,577237;82807,478285;0,631579;3000,000000
460;120000,000000;68198,979615;0,684211;3000,000000
461;117529,255060;70850,737058;0,768421;3000,000000
462;94253,465523;57827,555437;0,621053;3000,000000
463;99910,469984;65118,781897;0,589474;3000,000000
464;120000,000000;77859,562036;0,747368;3000,000000
465;97018,989729;78783,141390;0,610526;3000,000000
466;101265,420483;56190,517565;0,705263;3000,000000
467;113553,853918;80350,246513;0,736842;3000,000000
468;108909,622424;64029,100940;0,694737;3000,000000
469;88024,665495;76867,810809;0,568421;3000,000000
470;84418,926155;49625,629576;0,778947;3000,000000
471;93307,838604;73915,184592;0,673684;3000,000000
472;85932,701907;49715,820441;0,673684;3000,000000
473;119064,394605;84768,288142;0,684211;3000,000000
474;120000,000000;83247,693667;0,831579;3000,000000
475;113907,533383;87393,484087;0,631579;3000,000000
476;95384,994708;70979,900497;0,694737;3000,000000
477;120000,000000;86848,252760;0,715789;3000,000000
478;120000,000000;56042,693269;0,663158;3000,000000
479;111061,856647;68215,955141;0,631579;3000,000000
480;114258,090894;92032,456437;0,694737;3000,000000
481;100189,562313;49336,792230;0,578947;3000,000000
482;91225,578757;53297,362586;0,642105;3000,000000
483;96686,408125;83444,511505;0,536842;3000,000000
484;109958,875629;80723,387654;0,578947;3000,000000
485;120000,000000;95740,886724;0,673684;3000,000000
486;119702,033750;92926,358667;0,768421;3000,000000
487;116858,775770;75771,651560;0,715789;3000,000000
488;120000,000000;102110,520692;0,747368;3000,000000
489;103670,369366;77700,336483;0,663158;3000,000000
490;107536,543894;58928,074783;0,778947;3000,000000
491;108626,002931;85066,512319;0,673684;3000,000000
492;112561,794469;88408,902412;0,736842;3000,000000
493;107180,896619;57190,779881;0,736842;3000,000000
494;120000,000000;75597,348448;0,715789;3000,000000
495;115652,430646;69251,727650;0,800000;3000,000000
496;106528,412857;58440,558562;0,747368;3000,000000
497;92550,438249;67819,972283;0,642105;3000,000000
498;119210,791421;65189,631029;0,736842;3000,000000
499;99034,876133;89647,531184;0,631579;3000,000000
500;120000,000000;97025,615214;0,705263;3000,000000
501;101935,260725;82692,605401;0,536842;3000,000000
502;102270,788794;85844,917174;0,578947;3000,000000
503;100457,614486;62726,524241;0,726316;3000,000000
504;100619,404877;79160,749529;0,642105;3000,000000
505;104720,599049;56981,485471;0,736842;3000,000000
506;100189,562313;75032,883728;0,642105;3000,000000
507;120000,000000;87851,710189;0,631579;3000,000000
508;120000,000000;96278,731391;0,757895;3000,000000
509;119223,961723;104186,165323;0,589474;3000,000000
510;118124,825324;83376,462648;0,831579;3000,000000
511;93024,250807;72081,125476;0,494737;3000,000000
512;119390,436484;87733,403655;0,726316;3000,000000
513;115310,213368;87618,384845;0,715789;3000,000000
514;106136,156736;95422,530405;0,673684;3000,000000
515;103695,477839;60099,655365;0,726316;3000,000000
516;98147,848708;76723,550563;0,694737;3000,000000
517;120000,000000;100354,067721;0,673684;3000,000000
518;94797,267636;65383,940796;0,610526;3000,000000
519;103720,794836;58234,462524;0,694737;3000,000000
520;102593,125524;81320,244534;0,589474;3000,000000
521;100864,592445;61316,289583;0,631579;3000,000000
522;97789,718499;58313,063982;0,663158;3000,000000
523;109527,746887;83056,465258;0,631579;3000,000000
524;104326,047009;72938,530362;0,631579;3000,000000
525;114072,457135;78136,561930;0,652632;3000,000000
526;120000,000000;88730,023600;0,800000;3000,000000
527;109732,279819;68996,114060;0,810526;3000,000000
528;102904,125380;72565,244507;0,631579;3000,000000
529;116492,049861;96456,207706;0,736842;3000,000000
530;98843,038964;65221,422752;0,684211;3000,000000
531;120000,000000;84108,152524;0,673684;3000,000000
532;120000,000000;63388,348853;0,726316;3000,000000
533;100189,562313;64954,963999;0,663158;3000,000000
534;104720,599049;78138,201522;0,726316;3000,000000
535;101990,604987;60728,990352;0,726316;3000,000000
536;100189,562313;64036,889935;0,536842;3000,000000
537;100500,289259;68290,361061;0,642105;3000,000000
538;120000,000000;97879,407537;0,800000;3000,000000
539;89887,954395;61365,074860;0,715789;3000,000000
540;120000,000000;86790,858396;0,757895;3000,000000
541;117961,903668;87910,855315;0,652632;3000,000000
542;118268,685711;51847,853888;0,652632;3000,000000
