episode;mean_e;var_e;std_e;rms_e
274;-7213,344151;1046760972,289270;32353,685606;33148,051317
275;-10661,458479;806447345,162871;28398,016571;30333,381646
276;-9116,479825;625042902,474807;25000,858035;26611,146290
277;-8845,579816;1033567322,640620;32149,141865;33343,839085
278;-19925,953095;1118329871,126751;33441,439430;38927,798266
279;-2326,396982;988400094,619833;31438,831000;31524,787351
280;-5377,829636;665862479,590914;25804,311260;26358,746768
281;-10943,814785;1531713021,930795;39137,105436;40638,406760
282;-10948,608721;1075944669,823357;32801,595538;34580,582742
283;-3128,072311;1116820039,560970;33418,857544;33564,935214
284;-12216,549675;786835079,735446;28050,580738;30595,410860
285;-3323,411425;900495012,368237;30008,249072;30191,721976
286;-14609,701048;849864080,865159;29152,428387;32608,395324
287;-13306,859577;880310296,435033;29670,023533;32517,423149
288;-12880,464519;975994625,875743;31240,912693;33792,025570
289;-14773,947914;834070867,643977;28880,285103;32439,796618
290;-22571,278514;1301356815,929451;36074,323499;42553,724040
291;-19492,659889;1180123808,209419;34352,930126;39497,944222
292;-12194,207530;711201703,799538;26668,365225;29324,058401
293;-15261,039338;629475915,426501;25089,358609;29366,226130
294;-4192,828877;993843827,243954;31525,288694;31802,887310
295;-20217,935228;1294948753,021938;35985,396386;41276,066405
296;-15727,226678;1007324879,412883;31738,381802;35421,328863
297;-1959,969516;1208192193,231381;34759,059153;34814,273994
298;-8068,103772;902815521,916908;30046,888723;31111,249097
299;-16900,188193;1072689620,812611;32751,940718;36855,202913
300;-3329,345152;902050948,707984;30034,163027;30218,131773
301;-6812,522411;1013313776,448093;31832,589848;32553,405936
302;-2504,479838;459165563,520582;21428,148859;21574,011745
303;-2644,085359;1092184037,351261;33048,207778;33153,811617
304;-3404,047921;845244638,156126;29073,091307;29271,695892
305;-10819,641773;613629771,882998;24771,551665;27031,359936
306;-6514,339934;614558920,438168;24790,298918;25631,924337
307;-20823,465195;1340734962,181268;36616,047878;42123,053841
308;-3995,929198;977077129,464245;31258,232987;31512,609851
309;-9847,804194;1564582234,407469;39554,800397;40762,255603
310;-13910,107500;861487483,462524;29351,107023;32480,433712
311;-20265,648941;1370532466,007774;37020,703208;42204,608670
312;-6280,546608;885174008,018355;29751,874025;30407,552906
313;-21887,923841;1211713557,379708;34809,676203;41119,274890
314;-15261,629522;970906200,598528;31159,367782;34696,160252
315;-10322,274639;894294492,614190;29904,757023;31636,116170
316;-14417,867483;863762179,759154;29389,831231;32735,868440
317;-7043,820055;767883565,023359;27710,712099;28591,938829
318;-6718,368413;1215695957,111133;34866,831762;35508,202309
319;-11477,613232;782047665,439067;27965,115152;30228,848323
320;-14526,070351;923252116,949958;30385,064044;33678,759431
321;-15154,306831;981954644,974581;31336,155555;34808,155086
322;-17488,712996;980327943,732656;31310,189136;35863,393955
323;-18205,978799;1198123562,281652;34613,921510;39109,860986
324;-18097,790172;988307677,291057;31437,361169;36274,477066
325;-11886,249544;1068564622,269035;32688,906716;34782,862885
326;-10405,779595;1067432549,466897;32671,586271;34288,668660
327;-21584,786060;1274344713,455638;35697,965116;41716,276233
328;-22917,477427;1288729101,139178;35898,873257;42590,373006
329;-9424,844116;1035760137,331254;32183,227578;33534,874742
330;-13098,278774;719337589,548275;26820,469600;29847,989821
331;-4573,133940;1178977260,259681;34336,238295;34639,440156
332;-13437,708498;939040865,205025;30643,773678;33460,616774
333;-12437,847427;748553371,005214;27359,703416;30054,174745
334;-17967,656072;1155026312,536242;33985,678050;38442,983459
335;-6887,477154;699658146,424449;26451,051896;27333,047543
336;-6298,190678;750642898,094898;27397,863021;28112,454605
337;-10742,315647;950701605,104040;30833,449452;32651,170738
338;-11137,027306;569444947,193800;23863,045640;26333,976616
339;-1894,070120;1267472474,292983;35601,579660;35651,928081
340;-9200,643737;584246666,843091;24171,194982;25863,072362
