episode;delta_v
1366;1,419149
1367;1,026091
1368;0,957441
1369;1,319763
1370;1,029206
1371;0,991293
1372;0,971496
1373;2,048445
1374;0,572272
1375;0,781885
1376;1,052263
1377;0,457963
1378;1,297500
1379;1,142540
1380;0,316421
1381;0,804979
1382;0,545723
1383;1,090231
1384;1,834718
1385;0,551713
1386;0,676808
1387;1,449481
1388;0,801191
1389;1,878938
1390;1,007563
1391;0,891088
1392;1,044880
1393;0,657625
1394;0,515636
1395;0,587988
1396;2,445100
1397;1,245546
1398;1,101591
1399;2,448976
1400;0,963438
1401;1,511650
1402;0,467933
1403;2,467943
1404;1,002840
1405;1,032337
1406;0,508820
1407;0,342863
1408;0,361543
1409;1,209581
1410;0,770769
1411;0,875189
1412;0,725681
1413;0,488408
1414;1,801870
1415;1,652087
1416;0,762836
1417;1,158296
1418;0,789975
1419;0,491587
1420;0,682867
1421;0,698337
1422;1,969733
1423;0,885839
1424;1,682210
1425;1,448772
1426;0,984349
1427;0,435680
1428;1,418727
1429;1,241798
1430;0,821914
1431;0,948120
1432;0,738162
1433;0,923309
1434;1,952038
1435;0,915238
1436;1,008189
1437;1,147467
1438;1,084540
1439;1,193358
1440;0,859309
1441;1,068230
1442;0,587929
1443;0,544753
1444;3,243902
1445;1,110349
1446;1,436157
1447;0,497932
1448;1,597117
1449;0,872572
1450;1,539617
1451;1,770252
1452;0,467580
1453;1,787916
1454;0,739430
1455;0,916781
1456;1,108754
1457;0,831637
1458;0,564162
1459;0,585282
1460;1,098870
1461;1,019854
1462;0,750077
1463;1,612224
1464;1,352196
1465;0,941084
1466;1,257051
1467;0,603115
1468;0,674449
1469;0,819339
1470;0,651525
1471;0,817187
1472;0,881815
1473;1,333020
1474;0,931546
1475;0,896981
1476;0,849010
1477;1,100301
1478;0,659892
1479;1,477508
1480;1,107813
1481;0,542246
1482;0,629420
1483;0,876735
1484;0,640976
1485;2,195087
1486;1,563640
1487;0,728671
1488;0,773615
1489;2,241651
1490;1,227364
1491;0,755183
1492;1,223522
1493;0,444253
1494;0,598828
1495;1,865001
1496;0,454557
1497;1,120915
1498;0,331159
