episode;consensus_deviation
1008;12,116030
1009;12,157186
1010;12,192073
1011;12,150728
1012;12,195945
1013;12,138033
1014;12,146842
1015;12,245466
1016;12,202260
1017;12,153969
1018;12,154064
1019;12,042914
1020;12,068262
1021;12,288607
1022;12,522424
1023;12,745378
1024;12,635636
1025;12,771884
1026;12,687587
1027;12,726377
1028;12,809335
1029;12,955234
1030;12,863716
1031;12,944556
1032;13,094709
1033;13,224031
1034;13,194663
1035;13,013994
1036;12,978368
1037;12,885583
1038;12,780053
1039;12,722626
1040;12,674461
1041;12,615444
1042;12,607217
1043;12,537928
1044;12,412831
1045;12,414524
1046;12,396320
1047;12,259936
1048;12,216151
1049;12,256800
1050;12,271969
1051;12,312104
1052;12,281848
1053;12,392391
1054;12,409658
1055;12,434484
1056;12,326681
1057;12,277195
1058;12,281287
1059;12,255072
1060;12,241981
1061;12,144984
1062;12,317919
1063;12,249872
1064;12,261161
1065;12,305499
1066;12,301318
1067;12,325092
1068;12,351511
1069;12,497293
1070;12,509605
1071;12,559660
1072;12,524353
1073;12,426853
1074;12,449671
1075;12,407038
1076;12,374404
1077;12,418397
1078;12,436135
1079;12,385087
1080;12,509299
1081;12,351728
1082;12,381329
1083;12,394788
1084;12,388456
1085;12,548613
1086;12,416929
1087;12,469727
1088;12,784265
1089;12,708739
1090;12,630365
1091;12,531402
1092;12,585538
1093;12,541958
1094;12,443170
1095;12,439202
1096;12,554439
1097;12,401207
1098;12,326933
1099;12,414157
1100;12,325365
1101;12,305150
1102;12,228378
1103;12,379863
1104;12,423499
1105;12,561170
1106;12,554074
1107;12,566195
1108;12,719355
1109;12,585890
1110;12,510335
1111;12,489075
1112;12,550649
1113;12,528436
1114;12,451725
1115;12,478642
1116;12,432596
1117;12,419624
1118;12,377898
1119;12,421447
1120;12,462976
1121;12,419040
1122;12,261177
1123;12,474531
1124;12,448254
1125;12,393811
1126;12,387570
1127;12,353466
1128;12,545391
1129;12,438842
1130;12,614767
1131;12,561731
1132;12,538190
1133;12,527260
1134;12,556305
1135;12,399144
1136;12,394770
1137;12,307567
1138;12,302900
1139;12,404076
1140;12,292131
1141;12,353358
1142;12,307313
1143;12,292194
1144;12,460737
1145;12,521108
1146;12,694666
1147;12,561289
1148;12,573233
1149;12,532186
1150;12,570551
1151;12,500686
1152;12,346508
1153;12,333878
1154;12,387997
1155;12,565785
1156;12,558146
1157;12,484135
1158;12,575570
1159;12,548413
1160;12,548136
1161;12,471266
1162;12,283642
1163;12,258381
1164;12,396815
1165;12,340657
1166;12,322079
1167;12,157490
1168;12,215764
1169;12,040147
1170;12,153646
1171;12,163283
1172;12,129456
1173;12,185613
1174;12,183940
1175;12,190817
1176;12,368245
1177;12,303984
1178;12,309922
1179;12,340318
1180;12,310689
1181;12,250352
1182;12,250810
1183;12,248195
1184;12,147372
1185;12,135311
1186;12,089130
1187;12,033030
1188;12,025060
1189;12,107388
1190;12,024899
1191;12,020813
1192;12,134210
1193;12,036491
1194;11,856907
1195;12,090659
1196;12,082534
1197;12,119329
1198;12,048699
1199;12,319180
1200;12,317651
1201;12,545449
1202;12,514471
1203;12,529252
1204;12,473828
1205;12,445630
1206;12,406854
1207;12,514699
1208;12,531573
1209;12,414274
1210;12,541588
1211;12,481998
1212;12,337859
1213;12,301073
1214;12,315159
1215;12,157431
1216;12,373659
1217;12,384442
1218;12,292828
1219;12,247992
1220;12,232349
1221;12,180877
1222;12,302536
1223;12,443038
1224;12,400227
1225;12,387745
1226;12,501089
1227;12,410493
1228;12,399791
1229;12,613995
1230;12,534293
1231;12,563189
1232;12,469596
1233;12,528370
1234;12,548864
1235;12,386654
1236;12,369142
1237;12,244186
1238;12,211433
1239;12,366719
1240;12,340814
1241;12,620469
1242;12,564590
1243;12,685148
1244;12,638260
1245;12,641659
1246;12,650374
1247;12,593518
1248;12,793996
1249;12,797614
1250;12,683089
1251;12,677686
1252;12,605601
1253;12,656209
1254;12,590449
1255;12,595791
1256;12,495467
1257;12,523734
1258;12,511117
1259;12,371804
1260;12,408175
1261;12,401432
1262;12,445301
1263;12,619758
1264;12,551069
1265;12,718472
1266;12,682856
1267;12,749108
1268;12,916189
1269;12,846833
1270;12,855136
1271;12,789173
1272;12,736186
1273;12,711172
1274;12,642866
1275;12,647682
1276;12,530695
1277;12,535209
1278;12,464157
1279;12,601742
1280;12,554305
1281;12,611217
1282;12,558779
1283;12,601406
1284;12,591246
1285;12,617692
1286;12,564921
1287;12,514410
1288;12,502831
1289;12,386336
1290;12,653280
1291;12,550545
1292;12,621288
1293;12,632018
1294;12,584269
1295;12,614293
1296;12,614963
1297;12,540260
1298;12,490633
1299;12,442766
1300;12,572863
1301;12,408366
1302;12,508052
1303;12,510210
1304;12,536204
1305;12,456682
1306;12,475794
1307;12,504062
1308;12,613676
1309;12,528860
1310;12,406008
1311;12,457392
1312;12,595354
1313;12,541808
1314;12,439092
1315;12,397425
1316;12,356143
1317;12,350167
1318;12,311179
1319;12,340189
1320;12,405122
1321;12,505377
1322;12,545366
1323;12,488545
1324;12,596106
1325;12,574201
1326;12,515960
1327;12,407225
1328;12,393268
1329;12,317808
1330;12,408413
1331;12,446770
1332;12,341325
1333;12,316371
1334;12,305482
1335;12,260680
1336;12,245426
1337;12,274914
1338;12,308775
1339;12,340478
1340;12,308560
1341;12,438189
1342;12,340691
1343;12,484941
1344;12,329234
1345;12,263549
1346;12,205870
1347;12,110103
1348;12,081987
