episode;step;epsilon;potential_wind#0;action_wind#0;power_wind#0;idx_wind#0;potential_battery#0;action_battery#0;power_battery#0;idx_battery#0;soc_battery#0;soc_idx_battery#0;potential_grid#0;action_grid#0;power_grid#0;idx_grid#0;env_price;env_price_idx;env_renewable_potential;env_renewable_potential_idx;env_total_renewable;env_total_renewable_idx;env_total_power;env_total_power_idx;env_demand_power;env_demand_power_idx;env_grid_power;env_grid_power_idx;env_energy_balance;env_energy_balance_idx;env_delta_power_idx;reward_wind#0;reward_battery#0;reward_grid#0;env_delta_ph;env_delta_ph_norm;env_delta_ph_idx;env_real_balance;env_real_balance_norm;env_real_balance_idx
469;35;0,687125;54658,180202;1,000000;54658,180202;1;0,000000;0,000000;0,000000;0;0,461717;0;0,000000;0,000000;0,000000;0;38,861734;0;54658,180202;0;54658,180202;1;54658,180202;1;35568,868601;1;0,000000;0;19089,311601;1;;1,000000;-1,000000;0,200000;19089,311601;0,063631;1,000000;-35568,868601;-0,118563;-1,000000
469;36;0,687125;33305,046286;1,000000;33305,046286;1;6844,959781;1,000000;-6844,959781;0;0,462002;0;0,000000;0,000000;0,000000;0;28,294682;0;33305,046286;0;33305,046286;1;33305,046286;1;33305,046286;1;0,000000;0;0,000000;0;;1,000000;0,537998;0,200000;6844,959781;0,022817;1,000000;28198,093697;0,093994;1,000000
469;37;0,687125;36895,757717;1,000000;36895,757717;1;10480,116633;1,000000;-10480,116633;0;0,462439;0;0,000000;1,000000;0,000000;0;35,041033;0;36895,757717;0;36895,757717;1;36895,757717;1;36895,757717;1;0,000000;0;0,000000;0;;1,000000;0,537561;-1,000000;10480,116633;0,034934;1,000000;6889,405202;0,022965;1,000000
469;38;0,687125;23460,451140;0,000000;0,000000;1;0,000000;0,000000;0,000000;0;0,462439;0;24743,862278;0,000000;0,000000;0;35,342286;0;23460,451140;0;0,000000;0;0,000000;0;24743,862278;1;0,000000;0;-24743,862278;0;;1,000000;1,000000;-0,250000;-1283,411138;-0,004278;0,000000;12151,895439;0,040506;1,000000
469;39;0,687125;44500,593283;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,462439;0;19042,427806;0,000000;0,000000;0;28,337369;0;44500,593283;0;0,000000;0;0,000000;0;19042,427806;1;0,000000;0;-19042,427806;0;;-1,000000;0,537561;0,200000;25458,165477;0,084861;1,000000;-19042,427806;-0,063475;-1,000000
469;40;0,687125;20974,305196;1,000000;20974,305196;1;2116,307383;2,000000;2116,307383;0;0,462351;0;0,000000;0,000000;0,000000;0;25,938948;0;20974,305196;0;20974,305196;1;23090,612579;1;23090,612579;1;0,000000;0;0,000000;0;;1,000000;-1,000000;0,200000;-2116,307383;-0,007054;0,000000;-23090,612579;-0,076969;-1,000000
469;41;0,687125;48719,759395;1,000000;48719,759395;1;24271,159763;1,000000;-24271,159763;0;0,463362;0;0,000000;1,000000;0,000000;0;32,839669;0;48719,759395;0;48719,759395;1;48719,759395;1;48719,759395;1;0,000000;0;0,000000;0;;1,000000;0,536638;-1,000000;24271,159763;0,080904;1,000000;-3474,294435;-0,011581;-1,000000
469;42;0,687125;49038,733687;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,463362;0;27858,704200;0,000000;0,000000;0;35,091837;0;49038,733687;0;0,000000;0;0,000000;0;27858,704200;1;0,000000;0;-27858,704200;0;;-1,000000;0,536638;0,200000;21180,029487;0,070600;1,000000;20861,055195;0,069537;1,000000
469;43;0,687125;55628,502563;1,000000;55628,502563;1;0,000000;0,000000;0,000000;0;0,463362;0;0,000000;1,000000;0,000000;0;27,120796;0;55628,502563;0;55628,502563;1;55628,502563;1;20796,776721;1;0,000000;0;34831,725842;1;;1,000000;-1,000000;-1,000000;34831,725842;0,116106;1,000000;-20796,776721;-0,069323;-1,000000
469;44;0,687125;30932,200666;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,463362;0;44900,681464;1,000000;44900,681464;1;57,917250;0;30932,200666;0;0,000000;0;44900,681464;1;44900,681464;1;44900,681464;1;0,000000;0;;1,000000;-1,000000;1,000000;-13968,480798;-0,046562;-1,000000;10727,821098;0,035759;1,000000
