episode;step;epsilon;potential_wind#0;action_wind#0;power_wind#0;idx_wind#0;potential_battery#0;action_battery#0;power_battery#0;idx_battery#0;soc_battery#0;soc_idx_battery#0;potential_grid#0;action_grid#0;power_grid#0;idx_grid#0;env_price;env_price_idx;env_renewable_potential;env_renewable_potential_idx;env_total_renewable;env_total_renewable_idx;env_total_power;env_total_power_idx;env_demand_power;env_demand_power_idx;env_grid_power;env_grid_power_idx;env_energy_balance;env_energy_balance_idx;env_delta_power_idx;reward_wind#0;reward_battery#0;reward_grid#0;env_delta_ph;env_delta_ph_norm;env_delta_ph_idx
534;37;0,492192;53144,332024;1,000000;53144,332024;1;9052,453611;1,000000;-9052,453611;0;0,214310;0;0,000000;1,000000;0,000000;0;28,696359;0;133761,240335;1;53144,332024;1;53144,332024;1;53144,332024;1;0,000000;0;0,000000;0;;1,000000;0,785690;-1,000000;89669,361922;0,298898;1,000000
534;38;0,492192;36094,033534;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,214310;0;29289,321117;0,000000;0,000000;0;17,083927;0;110604,010806;1;0,000000;0;0,000000;0;29289,321117;1;0,000000;0;-29289,321117;0;;-1,000000;0,785690;1,000000;81314,689689;0,271049;1,000000
534;39;0,492192;47073,379592;1,000000;47073,379592;1;3969,355221;1,000000;-3969,355221;0;0,308281;0;0,000000;0,000000;0,000000;0;34,373036;0;116580,987054;1;47073,379592;1;47073,379592;1;47073,379592;1;0,000000;0;0,000000;0;;1,000000;0,691719;1,000000;73476,962683;0,244923;1,000000
534;40;0,492192;37556,221603;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,308281;0;45481,239470;0,000000;0,000000;0;34,482141;0;103045,527901;1;0,000000;0;0,000000;0;45481,239470;1;0,000000;0;-45481,239470;0;;-1,000000;0,691719;1,000000;57564,288431;0,191881;1,000000
534;41;0,492192;61094,190608;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,308281;0;41998,900719;0,000000;0,000000;0;27,474276;0;116657,866794;1;0,000000;0;0,000000;0;41998,900719;1;0,000000;0;-41998,900719;0;;-1,000000;0,691719;1,000000;74658,966075;0,248863;1,000000
534;42;0,492192;48774,181551;1,000000;48774,181551;1;0,000000;1,000000;0,000000;0;0,308281;0;35106,061322;0,000000;0,000000;0;57,335808;0;88884,619050;1;48774,181551;1;48774,181551;1;83880,242873;1;0,000000;0;-35106,061322;0;;1,000000;0,691719;1,000000;5004,376177;0,016681;1,000000
534;43;0,492192;69364,631504;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,308281;0;83379,818697;0,000000;0,000000;0;58,776191;0;96943,903259;1;0,000000;0;0,000000;0;83379,818697;1;0,000000;0;-83379,818697;0;;-1,000000;0,691719;1,000000;13564,084562;0,045214;1,000000
534;44;0,492192;45166,064484;0,000000;0,000000;1;0,000000;0,000000;0,000000;0;0,308281;0;83117,037846;0,000000;0,000000;0;61,266577;0;62500,424683;1;0,000000;0;0,000000;0;83117,037846;1;0,000000;0;-83117,037846;0;;1,000000;-1,000000;-1,000000;-20616,613163;-0,068722;-1,000000
534;45;0,492192;66886,273458;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,308281;0;78866,079204;1,000000;78866,079204;1;67,705467;0;66886,273458;1;0,000000;0;78866,079204;1;78866,079204;1;78866,079204;1;0,000000;0;;1,000000;-1,000000;-1,000000;-11979,805745;-0,039933;-1,000000
534;46;0,492192;48760,640124;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,308281;0;45900,935749;0,000000;0,000000;0;32,614389;0;48760,640124;1;0,000000;0;0,000000;0;45900,935749;1;0,000000;0;-45900,935749;0;;1,000000;-1,000000;1,000000;2859,704375;0,009532;0,000000
534;47;0,492192;54349,054086;1,000000;54349,054086;1;7228,934299;1,000000;-7228,934299;0;0,479421;0;0,000000;0,000000;0,000000;0;35,604498;0;54349,054086;1;54349,054086;1;54349,054086;1;54349,054086;1;0,000000;0;0,000000;0;;-1,000000;0,520579;1,000000;7228,934299;0,024096;1,000000
534;48;0,492192;82030,628085;1,000000;82030,628085;1;0,000000;0,000000;0,000000;0;0,479421;0;0,000000;0,000000;0,000000;0;20,831818;0;82030,628085;1;82030,628085;1;82030,628085;1;30510,724558;1;0,000000;0;51519,903527;1;;-1,000000;-1,000000;1,000000;51519,903527;0,171733;1,000000
534;49;0,492192;43048,973791;1,000000;43048,973791;1;15554,640201;1,000000;-15554,640201;1;0,847665;1;0,000000;1,000000;0,000000;0;30,630296;0;43048,973791;1;43048,973791;1;43048,973791;1;43048,973791;1;0,000000;0;0,000000;0;;-1,000000;0,152335;-1,000000;15554,640201;0,051849;1,000000
534;50;0,492192;61187,601517;1,000000;61187,601517;1;0,000000;0,000000;0,000000;1;0,847665;1;0,000000;1,000000;0,000000;0;24,725163;0;61187,601517;1;61187,601517;1;61187,601517;1;26088,918409;1;0,000000;0;35098,683108;1;;-1,000000;-1,000000;-1,000000;35098,683108;0,116996;1,000000
534;51;0,492192;64605,018463;1,000000;64605,018463;1;31186,049597;1,000000;-6434,616669;2;1,000000;2;0,000000;0,000000;0,000000;0;28,044445;0;64605,018463;1;64605,018463;1;64605,018463;1;39853,585535;1;0,000000;0;24751,432929;1;;-1,000000;0,000000;1,000000;31186,049597;0,103953;1,000000
534;52;0,492192;65798,697718;0,000000;0,000000;1;0,000000;1,000000;0,000000;2;1,000000;2;31667,762874;0,000000;0,000000;0;20,733800;0;65798,697718;1;0,000000;0;0,000000;0;31667,762874;1;0,000000;0;-31667,762874;0;;-1,000000;0,000000;1,000000;34130,934844;0,113770;1,000000
534;53;0,492192;51666,710605;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;27573,467084;1,000000;27573,467084;1;16,514008;0;51666,710605;1;0,000000;0;27573,467084;1;27573,467084;1;27573,467084;1;0,000000;0;;-1,000000;-1,000000;-1,000000;24093,243520;0,080311;1,000000
534;54;0,492192;88599,084882;1,000000;88599,084882;1;7136,942460;1,000000;-0,000000;2;1,000000;2;0,000000;0,000000;0,000000;0;49,922838;0;100715,774087;1;88599,084882;1;88599,084882;1;81462,142422;1;0,000000;0;7136,942460;1;;1,000000;0,000000;1,000000;19253,631664;0,064179;1,000000
534;55;0,492192;23626,962833;0,000000;0,000000;1;0,000000;1,000000;0,000000;2;1,000000;2;77144,678779;0,000000;0,000000;0;58,020929;0;42503,007949;1;0,000000;0;0,000000;0;77144,678779;1;0,000000;0;-77144,678779;0;;1,000000;-1,000000;1,000000;-34641,670830;-0,115472;-1,000000
534;56;0,492192;47679,717005;0,000000;0,000000;1;0,000000;0,000000;0,000000;2;1,000000;2;79467,681933;0,000000;0,000000;0;57,010176;0;76818,192729;1;0,000000;0;0,000000;0;79467,681933;1;0,000000;0;-79467,681933;0;;1,000000;1,000000;-0,250000;-2649,489204;-0,008832;0,000000
534;57;0,492192;45550,114087;1,000000;45550,114087;1;38021,473460;2,000000;38021,473460;0;0,099870;0;0,000000;0,000000;0,000000;0;51,581860;0;83949,107341;1;45550,114087;1;83571,587547;1;83571,587547;1;0,000000;0;0,000000;0;;1,000000;-1,000000;1,000000;377,519794;0,001258;0,000000
