episode;mean_demand_power;mean_energy_balance;mean_renewable_power;mean_total_power;total_reward_wind;total_reward_battery;total_reward_grid;wind_activation_rate;battery_charge_rate;battery_discharge_rate;grid_import_rate
113;56783,397567;-14894,529352;13991,209340;41888,868215;9,000000;-51,266984;1,750000;0,489583;0,229167;0,395833;0,395833
1130;63236,288482;927,645863;45125,081088;64163,934345;73,000000;-33,648801;67,000000;0,593750;0,343750;0,593750;0,125000
1131;62638,954372;-10435,159034;41741,587494;52203,795338;63,000000;-30,739392;65,000000;0,593750;0,666667;0,177083;0,135417
1132;63980,116872;-16206,660082;40141,992069;47773,456790;65,000000;-32,439700;73,000000;0,552083;0,718750;0,218750;0,083333
1133;62713,662023;-37957,775767;11720,033661;24755,886256;73,000000;-64,142417;55,000000;0,302083;0,854167;0,083333;0,156250
1134;59882,350984;7020,496804;45830,396319;66902,847788;73,000000;-49,664402;59,000000;0,572917;0,187500;0,708333;0,125000
1135;66391,263792;-40977,216364;10546,535970;25414,047427;61,000000;-79,469130;59,000000;0,281250;0,697917;0,187500;0,093750
1136;64827,843504;-4752,469279;16063,482685;60075,374225;75,000000;-23,284352;65,000000;0,281250;0,166667;0,770833;0,114583
1137;62587,510019;2602,994851;37718,922916;65190,504870;59,000000;-31,755725;65,000000;0,520833;0,197917;0,708333;0,145833
1138;58906,520388;-8684,581708;32526,034930;50221,938681;61,000000;-21,139330;65,000000;0,531250;0,510417;0,416667;0,114583
1139;68709,071037;-36576,936614;7915,364732;32132,134424;81,000000;-53,828680;63,000000;0,208333;0,583333;0,354167;0,156250
114;60657,749458;-2651,821316;30450,625712;58005,928142;19,000000;-59,085939;-8,250000;0,437500;0,302083;0,385417;0,500000
1140;66009,350753;-4826,403421;6986,078913;61182,947333;63,000000;-4,563381;71,000000;0,260417;0,062500;0,875000;0,114583
1141;60346,887773;-20270,721692;29113,309843;40076,166080;83,000000;-42,542001;63,000000;0,458333;0,645833;0,239583;0,114583
1142;68060,549423;-45237,155767;9728,676347;22823,393656;83,000000;-68,646951;45,000000;0,239583;0,791667;0,062500;0,166667
1143;74955,609512;-24579,973962;42085,474287;50375,635549;69,000000;-36,306260;63,750000;0,531250;0,739583;0,104167;0,104167
1144;57556,151075;-20048,282640;27564,605489;37507,868435;61,000000;-34,749001;51,000000;0,531250;0,770833;0,093750;0,156250
1145;60614,349274;-34286,392235;17100,354655;26327,957040;63,000000;-71,088243;49,000000;0,354167;0,718750;0,093750;0,145833
1146;71458,859740;-12959,563794;49679,975008;58499,295945;77,000000;-31,258098;57,000000;0,645833;0,750000;0,156250;0,156250
1147;69877,699517;-18456,385745;4523,932066;51421,313772;77,000000;-29,757041;67,000000;0,156250;0,260417;0,645833;0,104167
1148;70227,226851;-45470,387107;5369,332577;24756,839744;63,000000;-91,576171;29,000000;0,218750;0,458333;0,250000;0,083333
1149;67312,655822;-136,234920;13271,483253;67176,420903;83,000000;-14,867381;65,000000;0,270833;0,083333;0,854167;0,114583
115;58555,518724;-10165,222116;22545,952468;48390,296608;1,000000;-79,098287;3,000000;0,437500;0,333333;0,322917;0,489583
1150;54240,830424;10202,728008;29781,289641;64443,558432;69,000000;-34,974058;71,000000;0,458333;0,031250;0,854167;0,104167
1151;66964,526079;-8803,342613;52008,609709;58161,183466;75,000000;-30,442990;69,000000;0,666667;0,666667;0,177083;0,104167
1152;66329,696507;1392,555635;53369,030367;67722,252142;75,000000;-29,510467;73,000000;0,677083;0,479167;0,427083;0,093750
1153;68467,260295;-3548,540371;15972,454333;64918,719924;69,000000;-18,623169;73,000000;0,312500;0,145833;0,812500;0,125000
